Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vitamina-c-serum-facial,Vitamina C - Serum facial,"<h1><strong><span style=""color: #ff8000;"">Vitamina C 15%</span></strong></h1>
<p><span style=""color: #000000;"">AOX COMPLEX</span></p>
<h2><span style=""color: #ff8000;"">TRIPLE ACCIÓN: antioxidante, luminosidad, antiage.</span></h2>
<p><span style=""color: #000000;"">Efecto antipolución</span></p>
<p><span style=""color: #000000;"">Dermatológicamente testeado</span></p>
<p><span style=""color: #000000;"">Para todo tipo de piel</span></p>
<h2><span style=""color: #ff8000;"">DESCRIPCIÓN</span></h2>
<p><span style=""color: #000000;"">MONODOSIS ANTIOXIDANTES DE USO DIARIO.</span></p>
<p><span style=""color: #000000;"">Fórmula a base de Vitamina C + E + Hydra Skin + Ácido Ferúlico, una combinación de potentes antioxidantes que ayudan a proteger la piel contra los radicales libres y agentes externos, ayudando a prevenir y a mejorar los signos del envejecimientos, las arrugas finales y promoviendo la producción de colágeno y elastina para una piel más iluminada y rejuvenecida.</span></p>
<h2><span style=""color: #ff8000;"">ACTIVOS</span></h2>
<p><span style=""color: #000000;"">15% Vitamina C</span></p>
<p><span style=""color: #000000;"">1% Hydra skin</span></p>
<p><span style=""color: #000000;"">0,5% Vitamina E</span></p>
<p><span style=""color: #000000;"">0,5% Ácido Ferúlico</span></p>
<h3>
<span style=""color: #ff8000;"">Vitamina C (L-ASCORBIC ACID) + Vitamina E + Ácido Ferúlico</span><span style=""color: #ff8000;"">:</span>
</h3>
<p><span style=""color: #000000;"">Combinación de potentes antioxidantes que neutralizan las radicales libres que causan el estrés oxidativo en la piel y provocan su envejecimiento prematuro. Promueven la formación de colágeno, protegen la barrera cutánea y devuelven luminosidad.</span></p>
<h3><span style=""color: #ff8000;"">Hydra Skin:</span></h3>
<p><span style=""color: #000000;"">Activo hidratante rico en factores anturales de hidratación (NMF) y osmoprotector frente a factores externos como cambios de humedad y temperatura.</span></p>
<h2><span style=""color: #ff8000;"">PRESENTACIÓN</span></h2>
<p><span style=""color: #000000;"">﻿30 monodosis de 1g cada una.</span></p>",mishinpi,,,"",true,Title,Default Title,,,,,0,0.0,shopify,4,deny,manual,4200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/VitaminaC.png?v=1649804944,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lips-glow,Lips Glow,"<p>HIDRATACIÓN + VOLUMEN 3D</p>
<h2><span style=""color: #b75d05;"">DESCRIPCIÓN</span></h2>
<p><span style=""color: #000000;"">Sulderm lips Glow es un bálsamo labial con un alto poder hidratante y nutritivo que refuerza la función barrera, reparando y mejorando el aspecto de los labios, Con efecto voluminizador 3D y antienvejecimiento. Ideal para complementar tratamientos de relleno de labios. </span></p>
<h2><span style=""color: #b75d05;"">ACTIVOS</span></h2>
<p><span style=""color: #000000;"">Manteca de karité 20%</span></p>
<p><span style=""color: #000000;"">Aceite de jojoba 5%</span></p>
<p><span style=""color: #000000;"">Hilurlip 2%</span></p>
<p><span style=""color: #000000;"">Dragon blood 2%</span></p>
<p><span style=""color: #000000;"">Volulip 1%</span></p>
<p><span style=""color: #000000;"">Mentol 0,5%</span></p>
<p><span style=""color: #000000;"">Vitamina E 0,3%</span></p>
<h3><span style=""color: #b75d05;"">Manteca de Karité, Aceite de Jojoba y Dragon Blood:</span></h3>
<p><span style=""color: #000000;"">Complejo nutritivo con un alto poder regenerador y emoliente, que mejora la textura de los labios secos y agrietados, proporcionando suavidad y luminosidad.</span></p>
<h3><span style=""color: #b75d05;"">Volulip:</span></h3>
<p><span style=""color: #b75d05;""><span style=""color: #000000;"">Péptido combinado con un extracto de Portulaca pilosa (antioxidante) que promueve hidratación, suavidad y aumenta el volumen de los labios, mejorando textura y perfilado.</span> </span></p>
<h3><span style=""color: #b75d05;"">Hilurlip:</span></h3>
<p><span style=""color: #000000;"">Suspensión de ácido hialurónico con una alta penetración y eficacia para aumentar la hidratación y el volumen, promoviendo la generación endógena de HA y brindando un relleno natural</span></p>
<h2><span style=""color: #b75d05;"">PRESENTACIÓN</span></h2>
<p><span style=""color: #000000;"">7g</span></p>
<h3><span style=""color: #b75d05;""></span></h3>",mishinpi,,,"",true,Title,Default Title,,,,,1,0.0,shopify,1,deny,manual,2200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/LipsGlow.png?v=1649374922,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lips-scrub,Lips Scrub,"<p>EXFOLIACIÓN + REGENERACIÓN</p>
<h2>DESCRIPCIÓN</h2>
<p>Sulderm Scrub labios es una combinación de vitamina C, azúcar y semillas de maracuyá, que proporcionaran una efectiva y suave exfoliación, promoviendo la renovación celular.</p>
<p>Complementando con activos nutritivos y regeneradores como la manteca de karité y aceites naturales de girasol y jojoba.</p>
<h2>ACTIVOS</h2>
<p>Manteca de karité 20%</p>
<p>Azúcar 7%</p>
<p>Aceite de girasol 5%</p>
<p>Aceite de jojoba 5%</p>
<p>Semillas de maracuyá 3%</p>
<p>Dragon blood 2%</p>
<p>Vitamina C 1%</p>
<p>Vitamina E 0,3%</p>
<h3><strong>Manteca de Karité, Aceite de Girasol, Aceite de Jojoba y Dragon Blood:</strong></h3>
<p>Complejo nutritivo con un alto poder regenerador y emoliente, que mejora la textura de los labios secos y agrietados, proporcionando suavidad y luminosidad.</p>
<h3><strong>Vitamina C y Vitamina E: </strong></h3>
<p>﻿Antioxidante que protegen la piel de los radicales libres y ayudan a prevenir el envejecimiento prematuro. </p>
<h3><strong></strong></h3>
<h2>PRESENTACIÓN</h2>
<p>7g</p>
<p><strong><br></strong></p>",mishinpi,,,"",true,Title,Default Title,,,,,2,0.0,shopify,2,deny,manual,2200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/LipsScrub.png?v=1649374481,1,,false,,,,,,,,,,,,,,,,,kg,,,active
jabon-de-limpieza-intimo-prebiotico,Jabón de limpieza íntimo prebiótico,"<p data-mce-fragment=""1""><strong><span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #000000;"">Jabón de limpieza íntimo prebiótico CON ÁCIDO LÁCTICO. pH 4,5 - balanceado</span></strong></p>
<h2 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;""><strong data-mce-fragment=""1"">DESCRIPCIÓN</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;"">Jabón líquido de limpieza formulado específicamente para el área íntima, brindando higiene, seguridad y confort. Con ácido láctico que ayuda a mantener equilibrada la flora microbiota vulvo vaginal brindando un cuidado protector.</span></p>
<h2 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;""><strong data-mce-fragment=""1"">ACTIVOS</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;"">Soothex 2%</span></p>
<p><span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;"">Ácido láctico 1,5%</span></p>
<p><span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;"">Bioecolia 1%</span></p>
<p><span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;"">Oligovita 0,5%</span></p>
<h3 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Soothex (Extracto de Boswellia serrata):</strong></span></h3>
<p><span style=""color: #000000;"">Ayuda a disminuir el enrojecimiento y la irritación en pieles sensibles.</span></p>
<h3 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Ácido Láctico:</strong></span></h3>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"" data-mce-fragment=""1"">Ayuda a mantener la hidratación y el pH del área íntima.</span></p>
<h3 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bioecolia:</strong></span></h3>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"" data-mce-fragment=""1"">Prebiótico (oligosacárido), que promueve el crecimiento y equilibrio del microbioma de la piel, ayudando a la protección y bioestimulación de las defensas naturales de la piel.</span></p>
<h3 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Oligovita:</strong></span></h3>
<p data-mce-fragment=""1""><span style=""color: #000000;"">﻿Rico en oligoelementos esenciales vegetales que ayudan a revitalizar y suavizar las pieles.</span><br></p>
<h2 data-mce-fragment=""1""><span style=""color: #ce9bb6;"" data-mce-fragment=""1"" data-mce-style=""color: #ce9bb6;""><strong data-mce-fragment=""1""></strong></span></h2>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong>PRESENTACIÓN</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">150g</span></p>",mishinpi,,,"",true,Title,Default Title,,,,,3,0.0,shopify,0,deny,manual,3000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/Jabondelimpiezaintimo.png?v=1649373412,1,,false,,,,,,,,,,,,,,,,,kg,,,active
gel-lubricante-intimo,Gel lubricante íntimo,"<p>NO AFECTA AL LÁTEX</p>
<p>Lubricación por más tiempo</p>
<p>Uso externo</p>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong>DESCRIPCIÓN</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">Gel a base de glicerina y siliconas que permiten una lubricación y humectación inmediata y más prolongada.</span></p>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong>ACTIVOS</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">Silicona</span></p>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">Glicerina</span></p>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong>PRESENTACIÓN</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">﻿50g</span></p>",mishinpi,,,"",true,Title,Default Title,,,,,4,0.0,shopify,3,deny,manual,2500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/Gellubricante.png?v=1649373475,1,,false,,,,,,,,,,,,,,,,,kg,,,active
crema-humectante-intima-prebiotica,Crema humectante íntima prebiótica,"<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">Rápida absorción</span></p>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">Humecta y protege</span></p>
<p> </p>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong>DESCRIPCIÓN</strong></span></h2>
<p>Crema humectante de rápida absorción. Formulada con aceites vegetales que brindan un cuidado protector de la piel de microbiota vulvo vaginal. Mantiene la piel humectada y protegida.</p>
<h2><span style=""color: #ce9bb6;""><strong>ACTIVOS</strong></span></h2>
<p>Omega Max 3%</p>
<p>Aceite de jojoba 1%</p>
<p>Manteca de karité 1%</p>
<p>Bioecolia 1%</p>
<p>Vitamina E 0,2%</p>
<h3><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"">Omega max, aceite de jojoba y manteca de karité:</span></h3>
<p><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><span style=""color: #000000;"">Combinación de aceites naturales ricos en ácidos grasos esenciales, omegas y manteca de karité que humectan y fortalecen la barrera cutánea, revitalizan y mejoran la elasticidad de la piel.</span><br></span></p>
<h3><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"">Bioecolia:</span></h3>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">Prebiótico (oligosacárido), que promueve el crecimiento y equilibrio del microbioma de la piel, ayudando a la protección y bioestimulación de las defensas naturales de la piel.</span></p>
<h3><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;"">Vitamina e:</span></h3>
<p><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><span style=""color: #000000;"">Poder antioxidante</span><br></span></p>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong>PRESENTACIÓN</strong></span></h2>
<p><span style=""color: #000000;"" data-mce-style=""color: #ce9bb6;"">50g</span></p>
<h2><span style=""color: #ce9bb6;"" data-mce-style=""color: #ce9bb6;""><strong></strong></span></h2>",mishinpi,,,"",true,Title,Default Title,,,,,5,0.0,shopify,2,deny,manual,2500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/Cremahumectanteintima.png?v=1649373437,1,,false,,,,,,,,,,,,,,,,,kg,,,active
celuflex-c-vitamina-c,Celuflex C Vitamina C,"CELUFLEX C<br data-mce-fragment=""1"">Serum. Alta potencia.<br data-mce-fragment=""1"">Antiaging. La solución antioxidante – Exfoliativa dérmica.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Ingredientes<br data-mce-fragment=""1"">Vitamina C al 15%.<br data-mce-fragment=""1"">Contiene únicamente vitamina C y por su acción exfoliativa mejora la actividad a nivel subdérmico del Rostro (Producto no irritante)<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Tratamiento<br data-mce-fragment=""1"">Aplicar con la piel limpia 2 veces al día, colocar 1 gota en la extremidad de un dedo y masajear suavemente el área deseada. Apto para párpados.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Utilización<br data-mce-fragment=""1"">Utilizarlo durante 3 meses en su primera instancia.<br data-mce-fragment=""1"">Serum<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Presentación<br data-mce-fragment=""1"">Frasco Gotero con estuche con 15ml",mishinpi,,,"",true,Title,Default Title,,,,,6,0.0,shopify,2,deny,manual,3570.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/CELUFLEX-C-2.jpg?v=1649127620,1,,false,,,,,,,,,,,,,,,,,kg,,,active
celuflex-h-serum-acido-hialuronico,Celuflex H Serum Ácido Hialurónico,"Celuflex H Serum Alta Potencia<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Serum de alta potencia con acción antiaging. Nutritivo y reestructurante dérmico.<br data-mce-fragment=""1"">Hidratante superior para utilizar como gel nutritivo en todo tipo de piel. Cara y cuello (producto no irritante).<br data-mce-fragment=""1"">Hidrata y retiene agua por poseer propiedades hidratantes e higroscópicas únicas.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DESCRIPCIÓN<br data-mce-fragment=""1"">- Acción antiage<br data-mce-fragment=""1"">- Nutritivo<br data-mce-fragment=""1"">- Hidratante<br data-mce-fragment=""1"">- Restructurante dérmico<br data-mce-fragment=""1"">- Apto para párpados<br data-mce-fragment=""1""><br data-mce-fragment=""1"">MODO DE USO<br data-mce-fragment=""1"">Aplicar con la piel limpia 2 veces al día, colocar 1 gota en la extremidad de un dedo y masajear suavemente el área deseada.<br data-mce-fragment=""1"">Apto para párpados.<br data-mce-fragment=""1"">Utilizarlo durante 3 meses en su primera instancia.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">COMPOSICIÓN<br data-mce-fragment=""1"">Ácido concentrado<br data-mce-fragment=""1"">Ácido Hialurónico<br data-mce-fragment=""1"">Vitamina B5<br data-mce-fragment=""1"">Vitamina E<br data-mce-fragment=""1"">Parsol MCX<br data-mce-fragment=""1""><br data-mce-fragment=""1"">PRESENTACIONES<br data-mce-fragment=""1"">Frasco Gotero con estuche de 15ml",mishinpi,,,"",true,Title,Default Title,,,,,7,0.0,shopify,8,deny,manual,3570.00,,true,true,"",https://cdn.shopify.com/s/files/1/0415/5392/0151/products/CELUFLEX-H-2.jpg?v=1649127544,1,,false,,,,,,,,,,,,,,,,,kg,,,active
